CustomerNumber,NoteDate,Subject,Note,RelatedTo,Type
1745,2015-08-11T11:47:22,Added by Kristin Crocker,ShipTemp ,Contact,Note
6159,2015-08-12T11:55:41,Added by Kristin Crocker,SH Suzy to call for status,Contact,Note
16479,2015-08-13T14:03:58,Added by Kristin Crocker,ShipTemp,Contact,Note
10076,2015-08-14T10:24:55,Added by Kristin Crocker,ShipTemp,Contact,Note
16465,2015-08-14T10:25:27,Added by Kristin Crocker,ShipTemp,Contact,Note
3274,2015-08-14T10:27:54,Added by Kristin Crocker,ShipTemp,Contact,Note
13630,2015-08-14T10:31:43,Added by Kristin Crocker,ShipTemp,Contact,Note
16481,2015-08-14T10:32:00,Added by Kristin Crocker,ShipTemp,Contact,Note
15304,2015-08-14T10:33:21,Added by Kristin Crocker,ShipTemp,Contact,Note
14464,2015-08-14T11:02:28,Added by Kristin Crocker,ShipTemp,Contact,Note
3136,2015-08-14T11:03:15,Added by Kristin Crocker,ShipTemp,Contact,Note
15288,2015-08-14T11:14:28,Added by Kristin Crocker,ShipTemp,Contact,Note
17050,2015-08-14T11:16:33,Added by Kristin Crocker,ShipTemp,Contact,Note
14999,2015-08-14T13:20:42,Added by Kristin Crocker,GiftMembership to Maria from Ben La Sala,Contact,Note
14999,2015-08-14T13:20:55,Added by Kristin Crocker,GiftMembership to Anna from Ben La Sala,Contact,Note
2377,2015-08-14T13:25:04,Added by Kristin Crocker,CustomAlways 2 cases Frivolo every year,Contact,Note
16280,2014-12-17T11:18:10,Added by Kristin Crocker,rec email 12-4-14 that she did not join club I just left her a message (she has not responded to any of my emails) that I am canceling her club membership if she wanted to continue she just needs to contact us I am following up with a confirmation email.,Contact,Note
2454,2014-11-19T10:41:40,Added by Kristin Crocker,rec email to cancel club cousin who loves the wine passed away. I sent confirmation email cancelled Frivolo club but still part of the BN club,Contact,Note
3683,2014-11-19T10:50:35,Added by Kristin Crocker,rec email to cancel club,Contact,Note
15431,2014-11-19T11:02:11,Added by Kristin Crocker,Brian called wanted to cancel club,Contact,Note
15110,2014-11-20T10:13:59,Added by Kristin Crocker,change in job needs to get a little more financially stable hopes to return didn't want vacation option.,Contact,Note
2727,2014-11-20T10:20:00,Added by Kristin Crocker,customer sent email requesting to change to LN club member. ,Contact,Note
3620,2014-11-24T10:33:57,Added by Kristin Crocker,rec email aunt wants to try something new may be back to FF but not right now,Contact,Note
4923,2014-11-24T10:41:19,Added by Kristin Crocker,rec email wants to look into a red wine club will visit us on Black Friday. I sent confirmation email along with nut club form to give them info on LN & BN club membership,Contact,Note
2106,2015-01-27T11:48:32,Added by Kristin Crocker,said had canceled back in August 2014 but still got their December wine. cancel now she will call in month or so interested in reds.,Contact,Note
16256,2015-01-28T09:10:24,Added by Kristin Crocker,sent past due email rec email to cancel club,Contact,Note
14757,2015-01-28T10:09:32,Added by Kristin Crocker,buying house right now can't afford,Contact,Note
14018,2015-01-28T10:50:35,Added by Kristin Crocker,no longer lives in CA remove from list,Contact,Note
9763,2015-01-28T11:41:31,Added by Kristin Crocker,pregnant still has last years case,Contact,Note
3397,2015-01-29T09:49:02,Added by Kristin Crocker,rec email to cancel club,Contact,Note
3442,2015-01-29T10:08:51,Added by Kristin Crocker,rec email to cancel club,Contact,Note
13896,2015-01-30T09:07:47,Added by Kristin Crocker,rec email has to cancel club,Contact,Note
1320,2015-02-02T09:30:05,Added by Kristin Crocker,rec email cutting back on expenses,Contact,Note
9691,2015-08-14T13:26:30,Added by Kristin Crocker,CustomAlways 2 cases Frivolo every year,Contact,Note
3007,2015-08-14T13:29:59,Added by Kristin Crocker,CustomAlways 2 cases Frivolo every year,Contact,Note
9011,2015-08-14T13:30:49,Added by Kristin Crocker,CustomAlways 2 cases Frivolo every year,Contact,Note
1114,2015-08-14T13:17:13,Added by Kristin Crocker,IW works at Madrona,Contact,Note
13258,2015-08-17T09:04:31,Added by Kristin Crocker,CustomAlways - 2 cases of Frivolo each year,Contact,Note
1442,2015-08-17T09:16:25,Added by Kristin Crocker,CustomAlways - 2 cases of Frivolo each year,Contact,Note
3327,2013-09-16T11:31:34,Added by Kristin Crocker,man called to cancel club I told him fall already processed he said ok would come pick that up but wants to cancel from this point on.,Contact,Note
12941,2013-09-17T14:14:08,Added by Kristin Crocker,per special handling note:Cancel BN after fall shipment,Contact,Note
13100,2013-09-19T13:43:03,Added by Kristin Crocker,Ship club wine Oct 15-March 15th,Contact,Note
9726,2013-09-20T09:52:22,Added by Kristin Crocker,rec email to ship fall to her office and she regrets needs to cancel club will order as needed.,Contact,Note
11451,2013-09-20T13:22:11,Added by Kristin Crocker,Tried to sign up online wanted FF,Contact,Note
2340,2013-11-11T09:00:21,Added by Kristin Crocker,cutting back on expenses cancel FF club,Contact,Note
12028,2013-11-15T08:50:23,Added by Kristin Crocker,moving out of state wants to cancel club for now offered vacation and she chose cancelation,Contact,Note
14642,2013-11-18T10:26:35,Added by Kristin Crocker,moving out of the country,Contact,Note
6391,2013-11-18T11:14:49,Added by Kristin Crocker,Came to TR requested to cancel club,Contact,Note
7195,2013-11-20T08:56:12,Added by Kristin Crocker,rec email too much wine needs to cancel club,Contact,Note
9273,2013-11-20T14:18:48,Added by Kristin Crocker,Mom can no longer enjoy Frivolo so canceling club,Contact,Note
1881,2013-11-26T09:59:32,Added by Kristin Crocker,Fred called TR and talked to Steve and asked to be removed from the FF club. Sent confirmation email,Contact,Note
11013,2013-11-26T10:07:43,Added by Kristin Crocker,moving wants to cancel club,Contact,Note
3786,2013-11-26T10:10:38,Added by Kristin Crocker,Bill called please cancel club,Contact,Note
3388,2013-11-26T11:13:15,Added by Kristin Crocker,too much wine,Contact,Note
11557,2013-12-02T09:34:53,Added by Kristin Crocker,Vera called said she thought she canceled last year we have no record of it. Canceled her,Contact,Note
9228,2013-12-03T09:35:53,Added by Kristin Crocker,rec email that her daughter Kim Mather of Florida will be taking over her club. Put note on special handling not to process Patricia right now also sent email to Bobby,Contact,Note
10041,2013-09-25T11:45:57,Added by Kristin Crocker,rec email regarding not getting her club wine yet. She was out of town and we had an old email address so she didn't receive any notices or phone calls. She requested to cancel her LN club cant afford,Contact,Note
3347,2013-09-10T10:12:45,Added by Kristin Crocker,Robin called will take current club order but wants to cancel club from this point on. Needed order shipped to her billing address so per SG instructions I canceled order 33710 and made new order with correct address for shipping. Sent cancelation email to Robin,Contact,Note
8233,2013-10-08T09:31:42,Added by Kristin Crocker,came to BC and asked to cancel FF,Contact,Note
6706,2013-10-08T10:13:45,Added by Kristin Crocker,Per cloud club notes cancel after pu fall club,Contact,Note
9458,2013-10-08T14:18:57,Added by Kristin Crocker,Per Katie's email purchased second home needs to cut back,Contact,Note
7351,2014-01-08T13:45:47,Added by Kristin Crocker,rec email to cancel club no reason,Contact,Note
11416,2014-01-08T13:47:44,Added by Kristin Crocker,rec email thought canceled club last year please cancel now,Contact,Note
3526,2014-01-09T09:25:10,Added by Kristin Crocker,rec email thought they canceled last year please cancel now,Contact,Note
9230,2014-01-09T09:28:23,Added by Kristin Crocker,rec email needs to cancel club at this time,Contact,Note
1634,2014-01-09T11:11:22,Added by Kristin Crocker,Suzy received email will not be home to rec spring shipment please downgrade to LN,Contact,Note
14189,2014-01-20T10:47:33,Added by Kristin Crocker,rec email from customer confirming wants to cancel Frivolo club,Contact,Note
2459,2014-01-20T12:35:07,Added by Kristin Crocker,too many wine clubs spread the wealth message Jim took to cancel club,Contact,Note
10765,2014-01-27T08:58:32,Added by Kristin Crocker,has too much wine right now,Contact,Note
2549,2014-01-31T10:18:28,Added by Kristin Crocker,rec email from Kevin that needs to cancel club hopes to rejoin in future. I sent him email offering him vacation and went ahead an put on vacation for now so no further activity is processed on his account until we hear back from him.,Contact,Note
9855,2014-02-03T09:00:14,Added by Kristin Crocker,canceled club too much wine and expense getting too big for all his clubs. sent confirmation ,Contact,Note
3684,2014-02-03T09:10:04,Added by Kristin Crocker,Andy (Rebecca's dad) called and canceled Rebeccas club membership since she no longer lives in Chapel Hill. He is not sure about his account if it will be pu or ship so I have set up for PU he can notify us later if he wants to ship and I have sent him an email confirming Rebeccas cancelation and his set up for PU,Contact,Note
9650,2014-02-04T09:18:47,Added by Kristin Crocker,rec email wants to cancel club. ,Contact,Note
14014,2014-02-04T10:01:27,Added by Kristin Crocker,rec phone message to cancel club I sent confirmation email,Contact,Note
13648,2014-02-05T09:13:01,Added by Kristin Crocker,susan didn't realize she signed up for club membership she wants to cancel and receive refund on wine says still has almost a full case from MM even though we only show she purchased 4 bottles. Trying to make customer happy so crediting for charge. ,Contact,Note
1505,2014-02-05T11:17:15,Added by Kristin Crocker,Doug called moving out of state cancel Frivolo club did not want to give any new contact information.,Contact,Note
14330,2014-02-05T11:48:56,Added by Kristin Crocker,rec email to cancel club,Contact,Note
10740,2014-02-06T10:19:35,Added by Kristin Crocker,rec email cutting back expenses. ,Contact,Note
13087,2014-02-06T10:24:31,Added by Kristin Crocker,rec email going through a divorce has to cut expenes,Contact,Note
3820,2014-02-06T10:28:38,Added by Kristin Crocker,rec email moving again wants to cancel club,Contact,Note
3331,2014-02-07T12:23:33,Added by Kristin Crocker,received email to cancel club,Contact,Note
10720,2014-02-11T09:24:30,Added by Kristin Crocker,rec email new baby needs to cancel club membership I sent confirmation,Contact,Note
7214,2014-02-11T13:07:44,Added by Kristin Crocker,suzy received email she pass on to me that they need to cancel club I confirmed cancelled with them,Contact,Note
14655,2014-02-13T10:03:57,Added by Kristin Crocker,Michael contacted the TR on 2-12-14 and spoke to Steve. He wants to be a LN.,Contact,Note
3305,2014-02-13T10:05:38,Added by Kristin Crocker,Bruce contacted TR on 2-12-14 spoke to Steve wants to be LN,Contact,Note
3059,2014-02-13T14:00:08,Added by Kristin Crocker,rec email sorry took so long to get back to us they were always hoping for pennies from heaven. They will certainly come back to club as soon as financial can.,Contact,Note
14465,2014-02-13T14:12:08,Added by Kristin Crocker,see acct notes,Contact,Note
2620,2014-02-14T08:55:31,Added by Kristin Crocker,had to cancel for now due to financial,Contact,Note
2620,2014-02-14T08:55:38,Added by Kristin Crocker,had to cancel for now due to financial,Contact,Note
2667,2014-02-14T08:59:31,Added by Kristin Crocker,rec email needs to cancel club,Contact,Note
15180,2014-02-19T11:16:01,Added by Kristin Crocker,rec phone message very sorry but had unexpected house expenses and can't be in club right now,Contact,Note
3240,2014-02-20T11:44:32,Added by Kristin Crocker,account will now be in James Glowacki name. They are divorced and he is taking over club,Contact,Note
2936,2014-02-21T09:28:54,Added by Kristin Crocker,has too much wine and can't do the auto pay any more just not going to work for her any longer,Contact,Note
2839,2014-02-21T10:20:15,Added by Kristin Crocker,rec email on go daddy too much wine,Contact,Note
2729,2014-02-21T10:20:38,Added by Kristin Crocker,rec email on go daddy moved to Maine,Contact,Note
2903,2014-02-21T10:21:00,Added by Kristin Crocker,rec email on go daddy traveling,Contact,Note
8514,2014-02-21T10:23:23,Added by Kristin Crocker,rec email on go daddy not drinking enough,Contact,Note
3484,2014-02-21T10:24:55,Added by Kristin Crocker,rec email on go daddy financially can't afford club thank you for all your help with their business,Contact,Note
3187,2014-02-21T10:27:11,Added by Kristin Crocker,rec email on go daddy financially can not afford,Contact,Note
2877,2014-02-21T10:31:22,Added by Kristin Crocker,rec go daddy email moved to HI no inexpensive way to get wine there please cancel club,Contact,Note
4739,2014-02-21T10:34:28,Added by Kristin Crocker,rec go daddy email to cancel club,Contact,Note
10992,2014-02-21T10:36:34,Added by Kristin Crocker,rec go daddy email to cancel club,Contact,Note
3937,2014-02-21T10:40:59,Added by Kristin Crocker,rec go daddy email to cancel club. Have sold CA cabin and not drinking as much lost lots of weight due to self deprivation.,Contact,Note
12405,2014-02-21T10:43:42,Added by Kristin Crocker,rec go daddy email needs to cancel club,Contact,Note
13576,2014-02-21T12:20:18,Added by Kristin Crocker,rec go daddy email that he thought he canceled in September. I confirmed order was canceled but not club and I canceled his club now with confirmation.,Contact,Note
14648,2014-02-21T12:58:36,Added by Kristin Crocker,rec go daddy email needs to cancel club,Contact,Note
12660,2014-02-28T09:23:12,Added by Kristin Crocker,rec email (I was out for mandatory BCD day off) on Thursday 2-27-14 2:33 pm to cancel wine club membership. Spring 6 pack was processed on 2-27-14 @ 2:34 pm. I sent email that I have canceled club what would she like to do about spring 6 pack?,Contact,Note
13100,2014-03-03T08:45:07,Added by Kristin Crocker,rec email from Steve that Patricia wants to cancel after the 6 pack. they have 120 cases they bought through customer crush and can not take any more wine. I sent confirmation email to Patricia,Contact,Note
3194,2014-03-03T09:22:45,Added by Kristin Crocker,rec email to cancel wine club membership as of 3-1-14. ,Contact,Note
2574,2014-03-10T10:56:33,Added by Kristin Crocker,Other places are now making sangiovese that also offer a variety - to get just sangiovese spreads us too thin on club memberships,Contact,Note
4077,2014-03-11T10:14:16,Added by Kristin Crocker,re-joined the BN club again,Contact,Note
3280,2014-03-11T10:50:11,Added by Kristin Crocker,upgraded to BN,Contact,Note
10685,2014-03-11T14:04:34,Added by Kristin Crocker,they came to TR on 3-4-14 needed to cancel club for substantial medical issues. Requested refund Suzy ok'd,Contact,Note
2599,2013-10-29T10:57:38,Added by Kristin Crocker,Canceled club per Suzy's email sent email to Sean letting him know.,Contact,Note
14784,2013-10-29T14:26:14,Added by Kristin Crocker,club membership is Michelles but Kevin Kraft is the billing.,Contact,Note
14321,2013-10-31T08:53:58,Added by Kristin Crocker,rec email that they are retiring and will be traveling to please cancel club.,Contact,Note
12901,2013-10-31T10:28:00,Added by Kristin Crocker,Rec email to cancel club sent confirmation email,Contact,Note
3096,2013-10-31T14:05:40,Added by Kristin Crocker,Jim took message that she wanted to cancel wine club to much wine. sent confirmation email,Contact,Note
3096,2013-10-31T14:05:40,Added by Kristin Crocker,Jim took message that she wanted to cancel wine club to much wine. sent confirmation email,Contact,Note
12893,2013-11-05T13:55:51,Added by Kristin Crocker,she and husband split up and she can not afford on her own.,Contact,Note
13651,2014-01-03T09:42:10,Added by Kristin Crocker,received email from Michael would like to cancel wine club,Contact,Note
10772,2014-03-19T09:26:47,Added by Kristin Crocker,received email must cancel due to finances.,Contact,Note
13996,2014-03-19T11:07:55,Added by Kristin Crocker,spoke to Barry got ok to charge spring and fall at appropriate club time. ,Contact,Note
10045,2014-03-31T08:55:17,Added by Kristin Crocker,rec email needs to cancel club $35 shipping for 6 bottles too high,Contact,Note
12902,2014-04-02T13:16:14,Added by Kristin Crocker,this is a custom LN/BN ok'd by Bobby 9 Noceto 1 port 1 OGP 1 MM,Contact,Note
2805,2014-04-16T09:06:27,Added by Kristin Crocker,rec email from Andrea needs to opt out of club,Contact,Note
3403,2014-04-16T09:08:52,Added by Kristin Crocker,rec email from Carmelo to cancel club,Contact,Note
3765,2014-04-16T11:23:53,Added by Kristin Crocker,Valerie sent email would like to cancel BN club but keep FF club she can no longer drink red wine,Contact,Note
14322,2014-04-17T14:34:06,Added by Kristin Crocker,rec email from Sean to cancel club,Contact,Note
2545,2014-04-23T08:58:16,Added by Kristin Crocker,I had sent Kathleen an email to update her address as her OH invitation was returned. She emailed me that she had sent an email in on 4-21-14 to remove her from the BN club. I did not receive the email but told her I would take care of it for her and we are sorry to see her go she has been with us a long time.,Contact,Note
1034,2014-04-25T08:38:22,Added by Kristin Crocker,received phone message to please cancel club. I canceled club and sent confirmation email,Contact,Note
3798,2014-04-28T14:01:09,Added by Kristin Crocker,visited TR on 4-25-14 and requested club be canceled. I sent confirmation email,Contact,Note
14861,2014-04-28T14:08:10,Added by Kristin Crocker,Jessie called said she has called 2 times and left messages to cancel club. She called back in December and does not want the spring wine. will process a credit to new credit card for spring 6 pack,Contact,Note
15061,2014-04-30T09:01:23,Added by Kristin Crocker,Upgraded to a BN,Contact,Note
3711,2014-04-30T13:39:32,Added by Kristin Crocker,visited oh 2014 wants to upgrade from LN to BN,Contact,Note
2650,2014-04-30T13:43:49,Added by Kristin Crocker,came to OH 2014 upgrade from LN to BN,Contact,Note
12370,2014-04-30T13:46:14,Added by Kristin Crocker,came to OH 2014 upgrade from LN to BN,Contact,Note
12240,2014-05-22T10:22:49,Added by Kristin Crocker,due to finances canceled club 12 days after joined,Contact,Note
7184,2014-05-22T13:48:45,Added by Kristin Crocker,cancelled by office no response to many contacts regarding past due OH invite came back undelivered per SG instructions of last known address,Contact,Note
13758,2014-05-22T13:50:58,Added by Kristin Crocker,cancelled by office no response to many contacts regarding past due OH invite came back undelivered per SG instructions of last known address,Contact,Note
15940,2014-05-29T09:15:55,Added by Kristin Crocker,customer wants to start club membership in August for fall club case traveling before then,Contact,Note
12089,2014-06-23T10:26:57,Added by Kristin Crocker,rec email requested to be cancelled,Contact,Note
2144,2014-06-23T10:32:38,Added by Kristin Crocker,rec email to cancel club ,Contact,Note
3573,2014-03-18T14:26:12,Added by Kristin Crocker,spoke to Jayne she said she canceled club back in Fall. they can not afford right now but will certainly still visit when they can they love our wines.,Contact,Note
3758,2014-07-16T09:15:47,Added by Kristin Crocker,upgraded to Big Nut,Contact,Note
8609,2014-08-05T12:22:23,Added by Kristin Crocker,received card in mail due to health reasons please cancel club,Contact,Note
13039,2014-09-04T13:33:24,Added by Kristin Crocker,Received email from Pat to cancel both clubs enjoyed wines but tastes have changed making changes to wine clubs,Contact,Note
13039,2014-09-04T13:33:32,Added by Kristin Crocker,Received email from Pat to cancel both clubs enjoyed wines but tastes have changed making changes to wine clubs,Contact,Note
2185,2014-09-04T14:23:49,Added by Kristin Crocker,just received email to cancel club. She got the email that order was processed and wants to cancel too much wine. I sent email back to see if wants a refund or if wants to cancel this point on. Told them I would leave processed (as is) until we hear back,Contact,Note
13891,2014-09-05T10:46:53,Added by Kristin Crocker,rec email needs to cancel club due to health issues sent confirmation email,Contact,Note
14193,2014-09-05T11:25:40,Added by Kristin Crocker,received email no longer able to be part of club sent confirmation email,Contact,Note
12248,2014-09-05T11:41:56,Added by Kristin Crocker,Rich husband called. Wife is fighting second battle with cancer can not be part of the wine club. I sent email confirmation cancelled club and refunded order,Contact,Note
15879,2014-09-05T12:34:02,Added by Kristin Crocker,Martin called on 9-4-14 wanted wine shipped and cancel club after this shipment. Sent email confirmation,Contact,Note
3286,2014-09-08T11:08:39,Added by Kristin Crocker,received email from Kimie that they cancelled club membership last year. Send email confirmation did not have a cancellation will take care of now.,Contact,Note
8163,2014-09-08T13:56:31,Added by Kristin Crocker,rec email 9-6-14 to cancel club sent him email back fall wine already processed does he still want or does he want credit. Confirmed I cancelled his club,Contact,Note
9070,2014-09-09T10:09:24,Added by Kristin Crocker,received phone call from Larry wants to cancel club and wants refund. sent email confirmation,Contact,Note
14755,2014-09-09T10:51:26,Added by Kristin Crocker,received email that she had cancelled club. no record of cancellation. Sent email confirmation club cancelled as of now,Contact,Note
16041,2014-07-28T09:29:07,Added by Kristin Crocker,it will be too much wine with starter case and then club case right after. When this member signed up I confirmed what they would be receiving in such a short time and he was fine with it. Now it is too much wine,Contact,Note
16223,2014-07-28T11:05:52,Added by Kristin Crocker,customer only wanted wine at club time signed up with no purchase,Contact,Note
16424,2014-09-17T09:02:18,Added by Kristin Crocker,ship Amador Shipping,Contact,Note
12163,2014-09-25T11:59:32,Added by Kristin Crocker,rec email needs to cancel club,Contact,Note
13846,2014-10-06T11:35:38,Added by Kristin Crocker,customer does not drink enough offered vacation wants to cancel club,Contact,Note
16522,2014-10-14T11:37:41,Added by Kristin Crocker,entered her in wrong club,Contact,Note
3544,2014-10-15T12:01:47,Added by Kristin Crocker,rec phone message to cancel club. sent email confirmation,Contact,Note
3382,2014-10-28T10:51:28,Added by Kristin Crocker,due to health needs to cancel club sent confirmation email,Contact,Note
3425,2014-10-28T10:53:36,Added by Kristin Crocker,rec email to cancel club sent confirmation email.,Contact,Note
3258,2014-11-10T14:31:09,Added by Kristin Crocker,rec email to cancel club will process credit minus ship charge and call back charge per Suzy.,Contact,Note
3365,2014-11-11T10:45:09,Added by Kristin Crocker,upgraded to BN membership,Contact,Note
16069,2014-11-12T11:09:13,Added by Kristin Crocker,received note from TR to cancel BN club,Contact,Note
11487,2014-08-12T09:45:51,Added by Kristin Crocker,spoke to Larry he just has some things going on and needs to cancel for now offered vacation but wants to completely cancel and when things are better may rejoin,Contact,Note
16308,2014-08-20T13:18:39,Added by Kristin Crocker,Pam called and said they really didn't like many of the wines that were in the 6 pack and they loved the Frivolo and want to switch to the FF club. ,Contact,Note
10264,2014-08-26T10:32:08,Added by Kristin Crocker,Mike called and canceled club,Contact,Note
7225,2014-08-27T14:18:00,Added by Kristin Crocker,too much wine engaged to non drinker 14 cases of wine when they drink through some she will rejoin,Contact,Note
13696,2014-09-02T09:22:30,Added by Kristin Crocker,Barbara called wanted to switch from BN to Frivolo Fanatic. too much red wine husband likes Frivolo,Contact,Note
3181,2016-02-22T08:38:30,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage +$5 ship,Contact,Note
16338,2016-02-22T08:41:16,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage pack,Contact,Note
2794,2016-02-22T11:16:16,Added by Kristin Crocker,CustomSpring2016 - Option #3 2012 Noceto Sangiovese x 2 wants 2 cases of special $162 + $10 shipping,Contact,Note
18177,2016-02-22T11:19:10,Added by Kristin Crocker,ShipDateSpring2016 - ship Monday March 14,Contact,Note
3169,2016-02-23T09:45:34,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage + $5 ship,Contact,Note
3556,2015-11-09T10:18:59,Added by Kristin Crocker,CustomFrivolo2015-2 btl 2013 Noceto 2 btl 2012 Ris 2 btls 2012 MM 2 btl AX1 2 btl OGP 2 btls Pinot Grgio all at 50% family discount,Contact,Note
3577,2015-11-09T10:31:56,Added by Kristin Crocker,CustomFrivolo2015 - 3 btl additional Frivolo do 15pack shipper 12.50 per btle 18 shipping ,Contact,Note
4082,2015-11-09T11:03:35,Added by Kristin Crocker,CustomFrivolo2015- add 4 btl 2012 Noceto 15% disc 15.30 per btl,Contact,Note
18972,2016-02-23T09:54:55,Added by Kristin Crocker,ShipDateSpring2016 - CustomSpring2016 - ship on March 21 - Option #2 Vintage pack +$5 ship,Contact,Note
1776,2016-02-23T10:02:42,Added by Kristin Crocker,CustomSpring2016 - Option #1 Double + $5 ship,Contact,Note
3370,2015-11-23T09:19:32,Added by Kristin Crocker,CustomFrivolo2015 - jug 3 pack w/shipping $60,Contact,Note
1264,2015-11-23T13:36:07,Added by Kristin Crocker,SHShipAlways - ship to ABC store with paperwork,Contact,Note
6308,2016-02-05T10:10:10,Added by Kristin Crocker,CustomSpring2016 - option #2 Vintage + $5 ship,Contact,Note
3072,2016-02-05T10:50:09,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage + Option #3 12 Noceto + $10 ship,Contact,Note
2922,2016-02-05T10:51:54,Added by Kristin Crocker,CustomSpring2016 - option #3 12 Noceto + $5 ship,Contact,Note
3039,2016-02-05T11:04:11,Added by Kristin Crocker,ShipDateSpring2016 - ship 4-18-16,Contact,Note
2737,2016-02-05T11:06:53,Added by Kristin Crocker,ShipDateSpring2016 - ship 3-14-16,Contact,Note
3152,2016-02-05T11:09:12,Added by Kristin Crocker,CustomSpring2016 - Option #1 double + $5 ship,Contact,Note
4388,2016-02-05T11:26:32,Added by Kristin Crocker,CustomSpring2016 - Option #2 minus $15 survey discount total upgrade cost $139-$15= $124,Contact,Note
2559,2016-02-09T11:00:58,Added by Kristin Crocker,CustomSpring2016 - Option #2 Vintage +$5 ship,Contact,Note
8699,2016-02-09T11:01:34,Added by Kristin Crocker,CustomSpring2016 - Option #2 vintage +$5 ship,Contact,Note
2260,2015-09-08T11:38:39,Added by Kristin Crocker,CustomFallAlways - 6 Noceto - 3 Dos Oakies - 3 Riserva,Contact,Note
12234,2015-11-30T15:32:42,Added by Kristin Crocker,CustomFrivolo2015 - 2 cases Frivolo this year,Contact,Note
12669,2015-12-10T14:33:45,Added by Kristin Crocker,FrivoloSH2015- wait to charge until Dec9 ship to rec on or after Jan 2. ,Contact,Note
10859,2015-12-23T08:43:46,Added by Kristin Crocker,GiftMembership,Contact,Note
18227,2016-01-11T10:37:56,Added by Kristin Crocker,CustomFallAlways - 1/2 case Normale 1/2 case Rosso,Contact,Note
19363,2016-01-18T11:53:17,Added by Kristin Crocker,CustomFallAlways - 6 Noceto 6 Rosso,Contact,Note
19151,2015-12-15T11:09:10,Added by Kristin Crocker,CustomAlways - wants Riserva instead of Noceto Sangiovese,Contact,Note
